,Unnamed: 0,TD3_det_agent,TD3_stoc_agent
0,0,-712.5480327372554,-823.3078943736821
1,1,-771.0548874436238,-619.3352162827687
2,2,-782.5836248124887,-605.3527960931608
3,3,-750.6408289889303,-697.5271485473162
4,4,-791.9314710855525,-679.6884638779865
5,5,-631.2763689663625,-716.675358480448
6,6,-824.2173698103453,-772.0421043642343
7,7,-811.9370352976988,-482.2473327677791
8,8,-659.8591959852765,-684.0250080583114
9,9,-681.5513967409618,-777.9312907640134
10,10,-694.2122870125515,-658.8801196944725
11,11,-795.0322018085739,-514.2474965477602
12,12,-702.2292887007097,-794.4833793480105
13,13,-663.0243654813585,-766.3686277467378
14,14,-3.3981725452249845,-567.423232593453
15,15,-762.0531367135736,-771.2257264742797
16,16,-537.9533232193403,-621.686835550407
17,17,-567.7478879918148,-685.6738226567904
18,18,-515.9453263200489,-592.1423172280113
19,19,-569.4052063691631,-635.7919525627639
20,20,-782.4109074354095,-648.2067633080514
21,21,-560.9907357326335,-674.1552839042495
22,22,-616.4565400954413,-597.5371001518238
23,23,-646.8848610400779,-649.3599253412509
24,24,-679.9896396288559,-503.09483838085424
25,25,-535.5693628678895,-695.6063386530041
26,26,-648.490524321579,-582.6203754808965
27,27,-438.75745265215056,-498.93381242033786
28,28,-1.7388172368089212,-578.0914349478837
29,29,-559.9719050299877,-412.99846348957385
30,30,-543.9182981501274,-521.4885296858282
31,31,-629.9768727565918,-493.59787696959376
32,32,-619.3964938013004,-554.4736055253134
33,33,-555.8039764763137,-503.7874921767479
34,34,-134.56987178346571,-1.899854455579631
35,35,-531.3428527766051,-489.07586933645524
36,36,-533.5056939159458,-278.06361480983355
37,37,-624.721888545051,-542.5495897229061
38,38,-607.8456225849179,-255.7233343803684
39,39,-128.4932890413986,-386.92207824992045
40,40,-386.98661965839096,-385.8550578753722
41,41,-264.3368166198422,-378.37744194287217
42,42,-514.5286687361911,-303.5961206905226
43,43,-520.5476391822597,-259.99021880375255
44,44,-391.4045738754369,-128.406705237739
45,45,-434.9372593753969,-533.9876467575352
46,46,-394.3365464515864,-251.57539669653937
47,47,-259.32365327140116,-259.4864393831199
48,48,-127.44075361802042,-382.88227149764754
49,49,-463.17062592308685,-250.205460944264
50,50,-387.9395894755755,-523.5838503547997
51,51,-265.34541217866337,-254.63075026243436
52,52,-347.87508094580613,-377.4364251306052
53,53,-509.4620006862722,-449.5929242229571
54,54,-127.72706465966606,-385.46968397286525
55,55,-258.8364133427893,-244.78196464355048
56,56,-393.78011006535286,-375.05646492226543
57,57,-2.3588133926106702,-482.61837826065886
58,58,-256.91638243276924,-508.9225484558297
59,59,-250.47865121160655,-128.01241016620565
60,60,-245.88057487499043,-389.1028207294071
61,61,-128.7555752527175,-253.07470614366466
62,62,-386.823187616814,-491.33506335769835
63,63,-131.17650371378215,-578.5482971574925
64,64,-0.5149008000595722,-399.7682964827148
65,65,-247.0373918477385,-388.92914499669394
66,66,-2.9227174685354433,-0.9215253525209248
67,67,-499.1835074559018,-0.8537534965585267
68,68,-510.6085640464682,-256.908775835864
69,69,-395.7268622853661,-1.2415482575677466
70,70,-263.4186029486657,-0.6128421527050338
71,71,-265.26485583983447,-388.0772107425544
72,72,-127.67700620674714,-251.88502225285123
73,73,-401.79883533608637,-612.2975642996328
74,74,-126.91009883227129,-376.2958828637724
75,75,-239.07912866160427,-126.73185673045435
76,76,-125.70224234454773,-244.96358466768874
77,77,-0.5887486150663417,-1.1772307081070439
78,78,-127.30928126922242,-380.5368577192127
79,79,-243.37570414271408,-478.00155160657334
80,80,-127.66825460913972,-379.310374457832
81,81,-390.2318053060191,-608.381640940891
82,82,-496.8956776407222,-368.5822464878432
83,83,-128.86697612488916,-249.99569281865487
84,84,-0.5428316062224965,-123.28153294621004
85,85,-129.57971986935328,-401.9315068240617
86,86,-0.5017826051428237,-388.3504025339262
87,87,-372.4236615260781,-384.65616723576227
88,88,-374.96295716601736,-128.34511863185625
89,89,-127.92658698592932,-124.13311850910995
90,90,-244.0418523605853,-125.41736546485492
91,91,-125.31734127047164,-0.6378198653283152
92,92,-129.06541623886326,-126.40029842725959
93,93,-263.8812407065583,-492.18149428024634
94,94,-255.8593804131352,-127.96683781005721
95,95,-131.25638958935085,-126.29937780217988
96,96,-0.7011636504591083,-376.02350788073886
97,97,-254.08422769079223,-504.25880077991536
98,98,-247.9209835650023,-0.9824666294026901
99,99,-128.49404934562764,-371.6123746996353
100,100,-129.7417316878055,-368.08934038140234
101,101,-390.1940392431589,-124.63337665564522
102,102,-243.12173232187808,-382.5922066225215
103,103,-401.67739878415534,-376.2642069120802
104,104,-126.60080507397647,-369.0460911149964
105,105,-269.6705153953668,-252.66075089351122
106,106,-252.54297934953513,-371.1561145260591
107,107,-0.8018957247981346,-126.62570511268899
108,108,-385.04950053126885,-249.82027848637105
109,109,-255.9232204515409,-0.5029119024421806
110,110,-126.4875843179709,-475.68679760257737
111,111,-244.76338138085808,-241.8023353431015
112,112,-122.87683080320437,-127.25220078172255
113,113,-129.81232295039382,-127.55179148294319
114,114,-243.64502468326782,-1.2801762402801649
115,115,-483.23917550146575,-245.89725052677292
116,116,-254.3386903092147,-247.81937910338644
117,117,-127.9040648237639,-622.2227720892097
118,118,-124.79519436404141,-366.48457951801936
119,119,-123.20873075886124,-372.2735995470666
120,120,-0.5709015313616567,-127.14821661349694
121,121,-126.56112016065786,-247.60594582158885
122,122,-372.8054868364019,-126.69366915734741
123,123,-124.01550379157291,-122.73018770989334
124,124,-126.81919566369706,-249.78664515922964
125,125,-2.317887131391243,-247.21746544174806
126,126,-279.496187711427,-126.10785315398219
127,127,-126.12247678768983,-557.4105395506917
128,128,-124.96035229201851,-1.8613618304538462
129,129,-131.54199302194868,-0.8005668432226426
130,130,-263.2145737105368,-373.5354582481139
131,131,-128.15792257450872,-123.06215704139713
132,132,-125.61854794169285,-127.15708696599357
133,133,-375.52381250803575,-246.0938390307846
134,134,-236.19997789866738,-126.02740535227409
135,135,-285.96307782173596,-248.05089330951887
136,136,-128.46696530740178,-245.99659047401641
137,137,-125.59138464164964,-128.2729135985188
138,138,-129.2233484922686,-373.5544649456592
139,139,-128.9518915065361,-247.98435478745932
140,140,-392.3367592119625,-374.26051081478687
141,141,-130.58562769753308,-366.54387170999826
142,142,-391.0348461257403,-517.3879426519624
143,143,-120.94995412139565,-370.9644793959895
144,144,-127.06176652020041,-125.2156015794089
145,145,-497.5876693384535,-125.87462519215744
146,146,-242.9930179302356,-125.94392322167705
147,147,-285.4076554056581,-409.7007546679748
148,148,-0.8083614352756598,-0.5321695439185056
149,149,-420.8827885650577,-239.150286742546
150,150,-282.8726138179607,-404.4408802237448
151,151,-370.11849130210123,-126.78358909104364
152,152,-123.74940914113844,-128.79461281182202
153,153,-0.9421399099939644,-124.684745974832
154,154,-373.49196754240234,-510.9741981976641
155,155,-436.0747907751426,-381.7635945027532
156,156,-255.2431422781794,-127.26732254204184
157,157,-126.06136764675252,-127.58911570609465
158,158,-371.5090252697712,-496.6498422700685
159,159,-261.8040421185157,-368.6010730369256
160,160,-1.3395548320574773,-488.25642586183073
161,161,-496.1043825177396,-401.9513335295904
162,162,-1.1239989821564416,-386.1874416195556
163,163,-128.20268131188243,-126.07141875354938
164,164,-388.02323908904884,-126.58252308354133
165,165,-267.55749549446654,-491.71833642632805
166,166,-394.3988700883512,-374.4732746950198
167,167,-128.51350530371238,-127.34509587473586
168,168,-259.5614432827288,-126.44390088876804
169,169,-244.37736758946446,-127.30235428017333
170,170,-129.56460280127718,-371.3209239151679
171,171,-451.52854296343145,-125.74857079157988
172,172,-339.97843161829553,-494.770165502788
173,173,-453.2246169289744,-392.4830713757881
174,174,-128.3854831823727,-127.22403378240215
175,175,-245.2818548168755,-127.40233539100898
176,176,-254.09203235917442,-121.76606255918054
177,177,-126.58131560488249,-366.9550655315944
178,178,-508.20949153478057,-0.37459562754692866
179,179,-263.5372944059132,-249.73857409181565
180,180,-453.34215889326106,-121.98097646891912
181,181,-130.48441561028108,-128.377197848025
182,182,-494.0975351091905,-390.77389080945994
183,183,-254.98590038653853,-240.8558575882228
184,184,-129.9228277669858,-489.930510734147
185,185,-289.06389427323785,-129.48424764477573
186,186,-2.732426910496365,-251.91484135836782
187,187,-375.7143260047656,-130.25917244362313
188,188,-129.29566560912443,-255.13010251980714
189,189,-124.77958965768656,-514.6305305804975
190,190,-127.65576508559522,-390.1817631401633
191,191,-127.4058778614043,-122.72126881030015
192,192,-1.5776560072657415,-126.6378440363542
193,193,-1.3974906611406055,-361.4623218786733
194,194,-126.13167084551432,-257.43208072520974
195,195,-260.8875369303717,-130.01513684299258
196,196,-126.23469778646424,-120.5085396337814
197,197,-127.625803199773,-128.27495135190728
198,198,-126.92115423711444,-129.08773193359355
199,199,-496.74555299439766,-127.33139597385546
200,200,-129.99007740537604,-1.117347510661071
201,201,-261.50894360175425,-127.12627579285045
202,202,-259.94470606478677,-1.063737334883241
203,203,-256.69494462142654,-1.4171584778677138
204,204,-128.36731802404975,-0.8201758157331311
205,205,-129.50764101057226,-251.18221017859494
206,206,-0.4277749328360825,-535.9488302818138
207,207,-131.29159771760462,-244.79485791770745
208,208,-605.52603862921,-250.46369940258697
209,209,-127.88923855261284,-127.45196771202541
210,210,-129.63177250876544,-122.52552123667841
211,211,-122.98050357134274,-124.97044808600289
212,212,-377.51890493214097,-252.35574475503958
213,213,-256.6727524999876,-126.64501790895683
214,214,-259.87163534675943,-249.35169568805793
215,215,-510.502146897528,-390.4004683838798
216,216,-123.01686731656228,-501.84157195712976
217,217,-127.09994604043968,-130.18280279429283
218,218,-2.2381972027928803,-123.64104004126197
219,219,-121.86422110270826,-121.46682276273604
220,220,-376.3268911939431,-250.19627897461945
221,221,-127.93999306344948,-128.76726972849806
222,222,-126.35310210450865,-251.20928553616884
223,223,-259.52067510376656,-381.5530995905531
224,224,-125.48463929622544,-128.5180143003206
225,225,-266.09287579079296,-263.80043216116206
226,226,-0.5763237221591394,-125.6987522634538
227,227,-131.7451957320767,-0.7722346553149197
228,228,-130.94404742374638,-377.7218374169202
229,229,-250.3186195068069,-128.73524839638094
230,230,-131.20323862595572,-257.64301997974854
231,231,-258.5689053289508,-258.52061963775714
232,232,-2.973153127104783,-129.26185721688745
233,233,-371.5210200451349,-126.0559440469204
234,234,-129.65719677394642,-123.84708691338354
235,235,-129.43999340183922,-245.07028857215596
236,236,-371.8490717000853,-125.72008426896532
237,237,-248.448105273809,-372.4160743447647
238,238,-127.87437655885307,-370.66044185786706
239,239,-1.1049311582445402,-127.03537435025585
240,240,-246.7108944956588,-253.3106016976357
241,241,-394.4669725871772,-383.89310023820997
242,242,-128.9362628419261,-442.2635708394241
243,243,-126.73648881009764,-387.3039126148282
244,244,-129.0897289391654,-124.07213886956652
245,245,-257.929678353068,-126.02766465623996
246,246,-126.84113689845226,-526.922210480374
247,247,-404.2587859704484,-255.7412320744279
248,248,-130.87116643463068,-508.56076674516265
249,249,-132.05370766310787,-127.1536860789491
250,250,-377.2136277693437,-127.01798085754028
251,251,-129.6054274621363,-506.0144553980127
252,252,-439.2941565190036,-424.0306002579769
253,253,-258.0808163010674,-250.1015751722305
254,254,-250.94695840671682,-532.5465522619589
255,255,-243.51777492328208,-125.22809221052034
256,256,-130.41129543588377,-1.2093869101506232
257,257,-365.0937606071132,-381.5118253981841
258,258,-371.7570769134605,-122.10507173744782
259,259,-253.1964022637379,-129.2197834937861
260,260,-251.7910510928681,-1.0975818847903263
261,261,-270.087337031227,-386.6609536440574
262,262,-452.4307557608036,-253.89425682845877
263,263,-128.6036971353904,-128.09332212285818
264,264,-129.49717149500404,-251.68329559221584
265,265,-127.32183047726532,-515.2348317690846
266,266,-247.4006966023727,-0.8077416765098024
267,267,-1.521793993936024,-243.37786002567213
268,268,-124.05369432238916,-433.3766173747468
269,269,-475.9774937863961,-369.76101194705575
270,270,-127.1644658415148,-360.553924713333
271,271,-406.68083927423345,-127.98901160494289
272,272,-129.1173772354895,-361.0333094553435
273,273,-262.25994522930415,-391.4942047110437
274,274,-471.01978552818116,-503.93823388317463
275,275,-252.5929538876384,-251.59412288665132
276,276,-0.5869477396396364,-253.15842687604595
277,277,-349.46397811169464,-128.39756559580397
278,278,-0.9609663790574192,-126.74222698670272
279,279,-125.41966532258715,-401.82911590133864
280,280,-0.7745341964196059,-255.77557663326854
281,281,-131.37803585378776,-252.25551811711702
282,282,-247.40495453176172,-269.33694305008277
283,283,-129.42918895284112,-391.69213333315344
284,284,-132.44232942020122,-1.6364851238677456
285,285,-375.85375958093886,-414.8403115926977
286,286,-367.63473780780464,-130.17308491929413
287,287,-252.96087739943854,-128.33673384674537
288,288,-245.0025456512686,-368.74903890609784
289,289,-127.94715050765812,-250.8635724432577
290,290,-267.24732499842327,-253.05923415165344
291,291,-124.91596599593605,-388.64031124719156
292,292,-128.01295195307378,-250.91706325438827
293,293,-237.40208060376338,-0.506409889532866
294,294,-129.97812992463813,-126.24546732756542
295,295,-491.6962377977876,-127.93435689199991
296,296,-125.17383592562872,-0.6638099863486777
297,297,-118.91223273482152,-422.17174960766897
298,298,-124.4037874735961,-242.42185310873242
299,299,-263.77073845547534,-249.38436560580917
300,300,-245.53143831767557,-249.84896573532546
301,301,-388.07069982422365,-128.06913702567698
302,302,-252.7308636347393,-128.5183992840941
303,303,-384.65525744107833,-0.7626548127600518
304,304,-375.1729457337678,-366.9805525806624
305,305,-369.7639894708431,-124.92728762971844
306,306,-267.97443415478847,-126.0463854714304
307,307,-128.29772133904876,-125.37849942990042
308,308,-129.90081510232392,-257.1152902025513
309,309,-130.84643611164645,-497.7024039370156
310,310,-256.2447476249372,-242.73443447520336
311,311,-369.09142698819153,-128.74210910263605
312,312,-2.329642553982568,-127.8070438832207
313,313,-130.39111948158458,-127.7129467804485
314,314,-243.32887156399067,-371.5968317393539
315,315,-367.3592548951222,-128.81663982934808
316,316,-130.0489385726944,-129.03484003044719
317,317,-129.92441215101906,-376.51876493215184
318,318,-128.05100879051463,-244.79599695756465
319,319,-259.0479438988092,-0.4360310485859996
320,320,-2.395036251593585,-488.47289876488236
321,321,-563.1172110185023,-394.33109386196935
322,322,-126.13482005800951,-127.52036254085802
323,323,-245.4164498539508,-123.3499264596946
324,324,-129.1465660400819,-379.7090502774254
325,325,-131.03291149228642,-127.79374494898713
326,326,-130.53877332219358,-127.71417965380428
327,327,-403.448719144607,-129.316097289865
328,328,-128.85108081367108,-247.85725387514952
329,329,-126.77879264812034,-128.18811465898102
330,330,-373.1516462217125,-359.606401192418
331,331,-128.7012058500592,-125.75559830496869
332,332,-410.54090699288406,-124.64331591227
333,333,-129.10033942962386,-126.39528423358013
334,334,-129.24548497604232,-127.88430076948643
335,335,-323.3220120080913,-255.07211707605836
336,336,-267.55477534117114,-0.937927478853868
337,337,-412.17457902941885,-363.30070799768305
338,338,-475.22303595781364,-503.4988542785899
339,339,-1.7654387835459655,-505.5761118304346
340,340,-240.88807385506257,-0.6106746390025107
341,341,-362.71519197836983,-123.7894053022505
342,342,-356.36141703614317,-251.05416634604117
343,343,-129.93743621980326,-250.19834604931498
344,344,-241.27198484806868,-128.01730838737288
345,345,-267.9560619528097,-251.9130934089074
346,346,-129.66204439963593,-437.89235499002194
347,347,-364.5250378739013,-246.5760099648229
348,348,-242.95487195155238,-0.6753975224712617
349,349,-128.4870104969325,-251.64626815562312
350,350,-2.6409142737639617,-252.10787560564796
351,351,-255.5420033464072,-366.2021001763356
352,352,-558.7126925720041,-128.20420478372034
353,353,-129.99171082300884,-252.94969733518948
354,354,-0.5530899090795035,-0.6904678953055385
355,355,-389.44861276509397,-260.7980104473096
356,356,-122.74497901174419,-499.3359671259994
357,357,-131.40702830739718,-124.28251142112394
358,358,-256.64127391533617,-251.44099638222536
359,359,-256.41577354835925,-131.3799781090438
360,360,-381.53024356396,-408.05292869325143
361,361,-126.36987008125985,-128.7113125121234
362,362,-127.49486272498423,-250.8297741368453
363,363,-130.2342942432693,-388.3410523290839
364,364,-372.82532842043264,-253.85637759186582
365,365,-259.4321333916226,-249.0087215670859
366,366,-121.93649794005535,-257.565710099806
367,367,-127.49492386119614,-418.0594761674786
368,368,-259.72972252414047,-0.5110473076647344
369,369,-253.27136947127698,-397.88065224776875
370,370,-280.2863243228324,-120.28356203493178
371,371,-0.575973111376457,-127.90595809347373
372,372,-402.1711823176342,-371.54922662935024
373,373,-243.05001116453613,-251.6033680333591
374,374,-127.43935803220762,-475.6621872548975
375,375,-129.41984558013928,-402.17895221581693
376,376,-129.71637027720342,-123.88608032219294
377,377,-129.6260673027879,-127.01970605253679
378,378,-0.43688780773249897,-253.24182819340996
379,379,-253.74524848204544,-130.7438252952121
380,380,-253.78696921073157,-125.65859311474618
381,381,-254.46466643305948,-528.9021421085821
382,382,-389.4251660213071,-239.33707838192694
383,383,-131.24068523437805,-125.88491743846228
384,384,-0.7247819594053081,-128.79257554444897
385,385,-258.33111911223983,-129.12387849060644
386,386,-126.71636793987447,-247.12121274819376
387,387,-374.6689667064571,-130.0763037046645
388,388,-129.6077162167804,-125.4618537461551
389,389,-129.61100365982924,-124.34653388515487
390,390,-465.3020868768276,-253.78952483620844
391,391,-128.74615506690364,-412.08926295085087
392,392,-127.97088815759736,-387.22620885049855
393,393,-493.82676539931396,-254.33250565638787
394,394,-241.08730444972585,-253.57770156125372
395,395,-255.53016391422886,-123.75260350140351
396,396,-392.81528752154566,-549.9165136189966
397,397,-120.62716311319716,-445.29925991487113
398,398,-128.32998268117993,-245.34986022423118
399,399,-131.75702066964672,-125.93200268688766
400,400,-251.510492578326,-250.45424314282917
401,401,-348.8083558147393,-412.1140831489681
402,402,-126.04017209355615,-415.1877846128804
403,403,-408.0595575772695,-494.3051247879617
404,404,-241.5156172439633,-485.53121372957486
405,405,-250.59810758527234,-534.6043822608602
406,406,-130.42787344612563,-364.5787346194196
407,407,-128.17579918253642,-127.71318613842955
408,408,-375.01534710102135,-0.5229861997254069
409,409,-129.99296382040566,-246.88229005640298
410,410,-129.86121033408946,-0.513150701987065
411,411,-130.09804407756448,-125.36790222283946
412,412,-248.49855386275948,-236.4529353962047
413,413,-120.80686889374346,-129.5539273550218
414,414,-127.40048546675968,-254.58468010068069
415,415,-125.65790086428171,-126.45137863955442
416,416,-260.12404453054194,-477.8575423445138
417,417,-129.43147404953672,-479.3877871715174
418,418,-353.5771696412621,-124.07787453229454
419,419,-260.9407893317136,-257.06951610567165
420,420,-379.707703444693,-395.5580625343661
421,421,-254.09047710485356,-252.83945886398712
422,422,-253.31473073418564,-256.11146422122584
423,423,-131.38488230741234,-128.62232861282172
424,424,-459.5191386129927,-262.1743249483402
425,425,-245.32256357334163,-255.9367025053095
426,426,-264.5722335532864,-391.0969820726218
427,427,-370.60823501705687,-128.60690426621977
428,428,-374.0947767970077,-125.15614588237038
429,429,-120.00434932446777,-252.23115709909925
430,430,-127.1182049461566,-247.4055436240944
431,431,-128.28934688356173,-128.0611384657989
432,432,-129.30952666298617,-370.29968473957894
433,433,-131.14618348348301,-128.57959172161148
434,434,-255.50751546257717,-393.47678853822964
435,435,-126.58313707748587,-126.54642524053756
436,436,-260.27650356001976,-241.61212632512928
437,437,-130.84307704874254,-496.15682334359144
438,438,-245.056406346414,-249.02315525244245
439,439,-246.77550567330425,-552.3342781290578
440,440,-129.52643115455157,-126.50288992304299
441,441,-129.44681103247194,-131.15876859103025
442,442,-3.8458456361970135,-120.2337002217284
443,443,-127.64388335652676,-256.092381863549
444,444,-253.0104913831569,-126.26614325517755
445,445,-243.01883686663285,-127.41848862165949
446,446,-373.59584315390066,-258.10819441173084
447,447,-256.93099719541937,-365.4047868986847
448,448,-263.5538606287734,-248.97005753719125
449,449,-482.3975718639188,-127.36706598975144
450,450,-132.03680311609085,-258.66615452970063
451,451,-127.46335821622836,-246.17109406158426
452,452,-235.17773741044925,-125.92801164845636
453,453,-325.0039385750264,-377.8071541532012
454,454,-129.59745990261587,-240.36619858800145
455,455,-129.76231525162862,-251.39993523452645
456,456,-123.49175300927145,-129.08758190618227
457,457,-130.54226008791298,-256.0024081352171
458,458,-133.92097091272652,-255.74678546338006
459,459,-124.08137817389813,-130.18211007342452
460,460,-0.7171727057123376,-246.34642074923656
461,461,-255.02689938776356,-252.3290007487363
462,462,-257.53095089880964,-255.52929189574343
463,463,-371.0364799751014,-127.19841143463883
464,464,-371.7421524034117,-124.08431878217135
465,465,-130.16024773055852,-251.64753347164543
466,466,-374.9062000917289,-246.36072156260752
467,467,-128.4516745458024,-253.5215711104718
468,468,-290.89734722746044,-388.4822894218704
469,469,-251.9499365694133,-128.41371715833276
470,470,-262.59452770547404,-369.72442889586694
471,471,-129.1039894456518,-579.1006784363581
472,472,-255.96638952834803,-126.51702768216705
473,473,-253.83364712304729,-128.47814450119657
474,474,-383.8226520130212,-256.8262782594958
475,475,-127.34043450899892,-543.3524958241989
476,476,-447.18263255011084,-250.54805311335562
477,477,-491.8440464272867,-127.71641773281914
478,478,-265.2563229914307,-129.11609435563457
479,479,-246.51715703574826,-120.2620334294907
480,480,-127.8798245786772,-360.5486967524922
481,481,-353.70397665298316,-619.2700215841941
482,482,-268.01586573450817,-128.1608075557328
483,483,-123.36199998929678,-498.5026117380169
484,484,-240.05239850568017,-363.6039359195994
485,485,-281.294653807071,-127.50846364280056
486,486,-124.49681961211368,-373.3928922879442
487,487,-254.70331849621442,-128.43480907547507
488,488,-398.8543559364736,-129.11895377866614
489,489,-360.33519802477525,-126.9519786080521
490,490,-253.29688764561752,-253.38556643631668
491,491,-122.3210187677905,-381.4362341957829
492,492,-290.86663629100025,-121.25356207321578
493,493,-375.3103532761809,-1.733627625498626
494,494,-506.6570020859525,-244.34387998641023
495,495,-124.16088155871456,-0.5458907727698825
496,496,-250.87661915423092,-121.11590454227205
497,497,-359.5223254908573,-255.21578554931565
498,498,-127.05556259450478,-128.11125046329653
499,499,-131.33511126799618,-250.8839894599706
500,500,-129.89958378310465,-241.7488824468684
501,501,-492.52922250823235,-127.90801225755649
